category_id,name
1,Электроника
2,Смартфоны
3,Ноутбуки
4,Планшеты
5,Телевизоры
6,Наушники
7,Клавиатуры
8,Мышки
9,Мониторы
10,Принтеры
11,Одежда мужская
12,Одежда женская
13,Обувь
14,Аксессуары
15,Сумки
16,Книги художественные
17,Книги учебные
18,Книги научные
19,Журналы
20,Комиксы
21,Мебель
22,Освещение
23,Текстиль
24,Декор
25,Посуда
26,Спорт
27,Фитнес
28,Велосипеды
29,Туризм
30,Рыбалка
31,Красота
32,Здоровье
33,Парфюмерия
34,Косметика
35,Уход за кожей
36,Продукты
37,Напитки
38,Сладости
39,Специи
40,Консервы
41,Автозапчасти
42,Автохимия
43,Автоэлектроника
44,Шины
45,Аккумуляторы
46,Игрушки
47,Настольные игры
48,Головоломки
49,Конструкторы
50,Куклы
