order_item_id,order_id,product_id,quantity,price
1,1,687,8,1881.38
2,1,1887,1,526.26
3,2,920,1,1787.43
4,2,1258,9,1377.4
5,3,379,10,3727.33
6,3,429,10,3171.39
7,4,1799,9,859.99
8,5,1993,7,1460.21
9,5,893,5,3618.22
10,5,243,8,1911.32
11,5,1643,8,2797.27
12,5,1593,6,1942.95
13,6,1137,6,336.95
14,6,536,2,3261.42
15,6,1888,5,1276.68
16,7,710,7,643.04
17,7,1760,3,2628.79
18,7,1760,6,3835.31
19,7,1160,2,1291.88
20,7,310,9,3397.11
21,8,272,9,3818.1
22,8,472,6,4172.76
23,9,1708,10,3968.7
24,10,373,6,1014.07
25,10,1723,7,2470.48
26,10,1623,1,3683.06
27,10,1523,9,1163.65
28,10,1773,1,1173.64
29,11,1457,2,2929.29
30,11,1257,2,3685.55
31,11,907,6,112.87
32,11,807,8,4411.7
33,11,257,10,2318.08
34,12,582,7,2975.93
35,12,1832,2,4453.66
36,12,632,4,2573.68
37,12,1882,7,2380.58
38,12,582,9,3235.41
39,13,1895,6,2095.1
40,13,645,7,3061.0
41,14,1280,7,1171.57
42,14,335,8,1131.28
43,14,1154,5,4741.46
44,14,773,8,3792.43
45,14,369,4,3398.13
46,15,1993,2,4623.41
47,15,693,5,361.31
48,15,843,4,1575.55
49,15,643,1,4469.28
50,15,1643,7,2615.9
51,16,1587,9,474.96
52,16,887,7,215.3
53,17,1285,2,2380.42
54,17,178,1,842.71
55,17,1195,5,971.12
56,18,866,4,2339.36
57,18,1466,9,274.03
58,19,1077,4,1471.85
59,19,539,4,1755.07
60,20,1649,3,2099.57
61,20,896,2,587.83
62,20,1536,5,2333.27
63,20,1151,3,174.6
64,21,985,4,3678.28
65,21,1585,5,649.16
66,22,1626,5,2287.72
67,22,1914,4,367.84
68,22,856,2,3903.28
69,23,388,9,4445.65
70,23,838,5,1156.79
71,23,938,4,274.47
72,23,1488,5,2757.69
73,23,38,6,2395.92
74,24,28,9,4841.49
75,25,1041,1,3767.72
76,25,1401,3,1442.44
77,25,1272,7,4041.82
78,26,861,5,3477.78
79,26,911,1,4641.15
80,27,1649,9,472.65
81,27,1699,8,4558.95
82,27,199,3,2967.89
83,27,1149,4,2624.49
84,27,1399,1,1562.37
85,28,1551,9,3946.22
86,29,1308,8,2091.47
87,29,808,10,965.36
88,30,1945,8,3262.43
89,30,1145,3,3196.46
90,30,195,9,561.16
91,30,1795,2,1850.7
92,31,712,4,219.18
93,31,1012,3,487.44
94,32,127,8,3808.17
95,32,477,8,2048.14
96,32,1027,3,2578.96
97,32,127,5,3009.35
98,33,1827,5,2677.23
99,34,95,10,485.98
100,35,1062,10,3258.19
101,35,1312,6,4533.25
102,35,862,10,1155.3
103,35,1262,1,3896.62
104,36,1624,8,3248.93
105,36,377,9,527.21
106,37,1166,3,1252.71
107,37,466,3,261.55
108,37,1516,3,3180.08
109,37,1166,9,2100.9
110,38,1694,3,1194.43
111,39,797,8,2785.08
112,40,768,1,4975.11
113,41,159,9,4442.51
114,41,1739,1,1313.85
115,41,309,8,570.71
116,42,436,5,2765.07
117,42,836,5,2543.76
118,43,1079,4,4024.77
119,43,1979,3,3998.92
120,43,879,8,4845.87
121,43,129,1,3532.31
122,44,1392,4,2067.81
123,44,1292,10,4306.07
124,45,950,2,3505.29
125,46,442,8,3719.62
126,46,1792,6,2111.6
127,46,842,2,4535.66
128,46,1442,9,1398.18
129,46,1392,4,1746.14
130,47,1782,6,2550.25
131,47,732,7,414.87
132,47,282,9,4564.35
133,47,1232,4,2227.07
134,48,1837,7,235.78
135,48,387,3,1379.93
136,48,1237,6,71.52
137,49,799,1,819.26
138,49,1017,8,4069.46
139,49,1312,3,3108.35
140,50,1805,7,1081.2
141,50,1505,3,2966.04
142,50,1405,1,1152.83
143,50,1905,9,4964.55
144,50,855,1,1554.9
145,51,341,9,3669.2
146,51,1241,6,1629.16
147,51,1641,2,125.14
148,51,1891,7,3894.66
149,52,938,1,4339.8
150,53,1364,6,2960.86
151,53,464,3,1826.88
152,53,1214,1,376.5
153,53,64,7,1898.73
154,53,1364,6,1856.19
155,54,425,8,3364.71
156,54,275,1,3931.87
157,54,125,7,343.63
158,54,25,6,4954.12
159,55,1296,7,82.82
160,55,1946,1,3744.52
161,55,596,7,4148.84
162,55,146,7,4399.09
163,56,1963,8,1923.41
164,57,337,5,1494.76
165,58,1430,4,1189.21
166,58,180,7,4340.7
167,58,180,8,1674.3
168,59,742,1,1953.3
169,59,539,4,1378.19
170,59,806,3,2118.71
171,60,1084,10,4765.37
172,60,1634,10,2031.27
173,60,634,1,2756.34
174,61,649,9,229.18
175,62,352,4,4691.5
176,63,222,8,3081.7
177,63,1622,3,832.92
178,63,772,10,1081.03
179,63,1822,1,3023.27
180,63,1772,5,1506.82
181,64,1556,5,4968.49
182,65,1229,8,968.42
183,65,1179,7,1967.44
184,65,1829,9,2451.31
185,66,442,8,4324.42
186,66,842,4,2238.2
187,67,224,1,1459.85
188,68,980,8,3050.72
189,68,780,10,3299.32
190,69,1474,3,1392.98
191,69,1951,10,1946.0
192,70,838,8,2933.97
193,70,638,2,4054.84
194,71,627,6,1356.66
195,72,1103,10,4422.84
196,73,417,9,734.32
197,73,1147,10,2262.02
198,73,1896,10,1430.21
199,74,775,5,3844.34
200,75,1233,9,2148.19
201,75,1183,10,4568.91
202,75,1233,5,654.9
203,75,33,4,1651.58
204,75,1533,1,3742.13
