product_id,name,category_id,price
1,iPhone 1,1,2821.25
2,Galaxy 2,2,4794.39
3,ThinkPad 3,3,1197.68
4,iPad 4,4,2054.98
5,Bravia 5,5,963.04
6,Sony 6,6,3220.37
7,Cherry 7,7,2189.07
8,Logitech 8,8,194.5
9,Dell 9,9,3089.83
10,HP 10,10,1026.76
11,Куртка 11,11,2981.41
12,Платье 12,12,1974.74
13,Кроссовки 13,13,3538.44
14,Часы 14,14,1068.63
15,Рюкзак 15,15,3774.01
16,Роман 16,16,4053.21
17,Учебник 17,17,359.69
18,Монография 18,18,553.67
19,Подписка 19,19,4366.3
20,Альбом 20,20,975.45
21,Диван 21,21,1663.63
22,Люстра 22,22,2314.87
23,Плед 23,23,1348.65
24,Ваза 24,24,4320.05
25,Сервиз 25,25,2662.19
26,Гантели 26,26,3213.59
27,Коврик 27,27,3005.01
28,Велосипед 28,28,3075.98
29,Палатка 29,29,2955.67
30,Удочка 30,30,1772.23
31,Крем 31,31,4235.31
32,Витамины 32,32,3105.95
33,Духи 33,33,4078.0
34,Помада 34,34,3544.64
35,Сыворотка 35,35,1522.35
36,Кофе 36,36,3091.7
37,Сок 37,37,469.52
38,Шоколад 38,38,713.04
39,Перец 39,39,633.42
40,Тушёнка 40,40,1561.63
41,Фильтр 41,41,956.07
42,Шампунь 42,42,3482.51
43,Видеорегистратор 43,43,2578.58
44,Зимняя шина 44,44,2120.28
45,Батарея 45,45,732.44
46,LEGO 46,46,1949.36
47,Монополия 47,47,969.48
48,Кубик Рубика 48,48,3195.73
49,Техник 49,49,3482.49
50,Barbie 50,50,3244.04
51,iPhone 51,1,4999.5
52,Galaxy 52,2,2796.82
53,ThinkPad 53,3,2473.73
54,iPad 54,4,744.47
55,Bravia 55,5,1607.17
56,Sony 56,6,2282.45
57,Cherry 57,7,315.38
58,Logitech 58,8,1827.24
59,Dell 59,9,97.44
60,HP 60,10,725.85
61,Куртка 61,11,4085.32
62,Платье 62,12,4820.95
63,Кроссовки 63,13,2551.92
64,Часы 64,14,2500.1
65,Рюкзак 65,15,3439.25
66,Роман 66,16,2107.37
67,Учебник 67,17,4207.46
68,Монография 68,18,2469.06
69,Подписка 69,19,459.22
70,Альбом 70,20,202.76
71,Диван 71,21,3817.23
72,Люстра 72,22,1495.85
73,Плед 73,23,1410.52
74,Ваза 74,24,2711.16
75,Сервиз 75,25,882.63
76,Гантели 76,26,2313.74
77,Коврик 77,27,3725.47
78,Велосипед 78,28,3841.3
79,Палатка 79,29,2771.14
80,Удочка 80,30,610.39
81,Крем 81,31,615.32
82,Витамины 82,32,3886.81
83,Духи 83,33,4125.25
84,Помада 84,34,1865.97
85,Сыворотка 85,35,4121.92
86,Кофе 86,36,255.97
87,Сок 87,37,3608.95
88,Шоколад 88,38,2754.45
89,Перец 89,39,4949.39
90,Тушёнка 90,40,556.96
91,Фильтр 91,41,4158.85
92,Шампунь 92,42,3769.16
93,Видеорегистратор 93,43,1523.66
94,Зимняя шина 94,44,4996.6
95,Батарея 95,45,2276.18
96,LEGO 96,46,1775.46
97,Монополия 97,47,4092.81
98,Кубик Рубика 98,48,2223.4
99,Техник 99,49,4970.09
100,Barbie 100,50,3889.38
101,iPhone 101,1,1222.88
102,Galaxy 102,2,4062.98
103,ThinkPad 103,3,2960.22
104,iPad 104,4,1785.62
105,Bravia 105,5,3568.23
106,Sony 106,6,3182.21
107,Cherry 107,7,871.61
108,Logitech 108,8,739.21
109,Dell 109,9,1072.77
110,HP 110,10,1074.37
111,Куртка 111,11,343.82
112,Платье 112,12,1786.54
113,Кроссовки 113,13,1441.37
114,Часы 114,14,2716.9
115,Рюкзак 115,15,1652.09
116,Роман 116,16,3535.07
117,Учебник 117,17,1482.2
118,Монография 118,18,1373.35
119,Подписка 119,19,4297.18
120,Альбом 120,20,4928.17
121,Диван 121,21,3412.53
122,Люстра 122,22,521.36
123,Плед 123,23,4815.72
124,Ваза 124,24,3939.17
125,Сервиз 125,25,4597.91
126,Гантели 126,26,4962.81
127,Коврик 127,27,4341.89
128,Велосипед 128,28,678.1
129,Палатка 129,29,4337.09
130,Удочка 130,30,1285.9
131,Крем 131,31,3571.4
132,Витамины 132,32,4150.98
133,Духи 133,33,3819.29
134,Помада 134,34,3397.36
135,Сыворотка 135,35,2472.82
136,Кофе 136,36,2908.26
137,Сок 137,37,1380.15
138,Шоколад 138,38,2100.41
139,Перец 139,39,2287.36
140,Тушёнка 140,40,3186.46
141,Фильтр 141,41,4406.62
142,Шампунь 142,42,510.82
143,Видеорегистратор 143,43,2602.29
144,Зимняя шина 144,44,1427.22
145,Батарея 145,45,4684.86
146,LEGO 146,46,1876.9
147,Монополия 147,47,4753.76
148,Кубик Рубика 148,48,1670.08
149,Техник 149,49,62.24
150,Barbie 150,50,3881.97
151,iPhone 151,1,3676.98
152,Galaxy 152,2,3668.11
153,ThinkPad 153,3,2319.32
154,iPad 154,4,3337.51
155,Bravia 155,5,1823.2
156,Sony 156,6,363.49
157,Cherry 157,7,2695.4
158,Logitech 158,8,1128.26
159,Dell 159,9,2176.73
160,HP 160,10,1098.66
161,Куртка 161,11,1379.26
162,Платье 162,12,4150.3
163,Кроссовки 163,13,1721.89
164,Часы 164,14,2910.77
165,Рюкзак 165,15,2852.4
166,Роман 166,16,2452.42
167,Учебник 167,17,1751.51
168,Монография 168,18,3428.63
169,Подписка 169,19,289.63
170,Альбом 170,20,542.89
171,Диван 171,21,3930.25
172,Люстра 172,22,2324.93
173,Плед 173,23,664.97
174,Ваза 174,24,4295.38
175,Сервиз 175,25,2234.37
176,Гантели 176,26,53.35
177,Коврик 177,27,4792.26
178,Велосипед 178,28,1051.48
179,Палатка 179,29,3458.53
180,Удочка 180,30,702.97
181,Крем 181,31,3267.49
182,Витамины 182,32,836.94
183,Духи 183,33,4666.99
184,Помада 184,34,1406.4
185,Сыворотка 185,35,3290.21
186,Кофе 186,36,1289.43
187,Сок 187,37,1890.63
188,Шоколад 188,38,4523.81
189,Перец 189,39,869.35
190,Тушёнка 190,40,2011.89
191,Фильтр 191,41,1562.27
192,Шампунь 192,42,3512.23
193,Видеорегистратор 193,43,1209.01
194,Зимняя шина 194,44,3294.65
195,Батарея 195,45,3533.31
196,LEGO 196,46,55.38
197,Монополия 197,47,2410.19
198,Кубик Рубика 198,48,706.86
199,Техник 199,49,1169.64
200,Barbie 200,50,3415.91
201,iPhone 201,1,95.97
202,Galaxy 202,2,3493.21
203,ThinkPad 203,3,4094.69
204,iPad 204,4,4941.37
205,Bravia 205,5,2140.45
206,Sony 206,6,704.27
207,Cherry 207,7,400.6
208,Logitech 208,8,1946.2
209,Dell 209,9,3667.28
210,HP 210,10,557.01
211,Куртка 211,11,1601.09
212,Платье 212,12,4410.9
213,Кроссовки 213,13,728.79
214,Часы 214,14,3878.63
215,Рюкзак 215,15,3778.13
216,Роман 216,16,709.07
217,Учебник 217,17,4965.05
218,Монография 218,18,757.12
219,Подписка 219,19,2676.02
220,Альбом 220,20,91.95
221,Диван 221,21,3267.6
222,Люстра 222,22,2228.49
223,Плед 223,23,3626.04
224,Ваза 224,24,3159.0
225,Сервиз 225,25,799.3
226,Гантели 226,26,2087.96
227,Коврик 227,27,3448.5
228,Велосипед 228,28,4306.81
229,Палатка 229,29,479.11
230,Удочка 230,30,547.3
231,Крем 231,31,3774.61
232,Витамины 232,32,2968.39
233,Духи 233,33,1950.96
234,Помада 234,34,4818.08
235,Сыворотка 235,35,1606.79
236,Кофе 236,36,742.16
