country_code,country_name,population
AFG,Afghanistan,42647492
ALB,Albania,2377128
DZA,Algeria,46814308
ASM,American Samoa,46765
AND,Andorra,81938
AGO,Angola,37885849
ATG,Antigua and Barbuda,93772
ARG,Argentina,45696159
ARM,Armenia,3033500
ABW,Aruba,107995
AUS,Australia,27196812
AUT,Austria,9177982
AZE,Azerbaijan,10202830
BHS,"Bahamas, The",401283
BHR,Bahrain,1588670
BGD,Bangladesh,173562364
BRB,Barbados,282467
BLR,Belarus,9132629
BEL,Belgium,11858610
BLZ,Belize,417072
BEN,Benin,14462724
BMU,Bermuda,64636
BTN,Bhutan,791524
BOL,Bolivia,12413315
BIH,Bosnia and Herzegovina,3164253
BWA,Botswana,2521139
BRA,Brazil,211998573
VGB,British Virgin Islands,39471
BRN,Brunei Darussalam,462721
BGR,Bulgaria,6441421
BFA,Burkina Faso,23548781
BDI,Burundi,14047786
CPV,Cabo Verde,524877
KHM,Cambodia,17638801
CMR,Cameroon,29123744
CAN,Canada,41288599
CYM,Cayman Islands,74457
CAF,Central African Republic,5330690
TCD,Chad,20299123
CHI,Channel Islands,168126
CHL,Chile,19764771
CHN,China,1408975000
COL,Colombia,52886363
COM,Comoros,866628
COD,"Congo, Dem. Rep.",109276265
COG,"Congo, Rep.",6332961
CRI,Costa Rica,5129910
CIV,Cote d'Ivoire,31934230
HRV,Croatia,3866200
CUB,Cuba,10979783
CUW,Curacao,155967
CYP,Cyprus,1358282
CZE,Czechia,10905028
DNK,Denmark,5976992
DJI,Djibouti,1168722
DMA,Dominica,66205
DOM,Dominican Republic,11427557
ECU,Ecuador,18135478
EGY,"Egypt, Arab Rep.",116538258
SLV,El Salvador,6338193
GNQ,Equatorial Guinea,1892516
ERI,Eritrea,3535603
EST,Estonia,1372341
SWZ,Eswatini,1242822
ETH,Ethiopia,132059767
FRO,Faroe Islands,54681
FJI,Fiji,928784
FIN,Finland,5619911
FRA,France,68551653
PYF,French Polynesia,281807
GAB,Gabon,2538952
GMB,"Gambia, The",2759988
GEO,Georgia,3699557
DEU,Germany,83516593
GHA,Ghana,34427414
GIB,Gibraltar,39329
GRC,Greece,10405134
GRL,Greenland,56836
GRD,Grenada,117207
GUM,Guam,167777
GTM,Guatemala,18406359
GIN,Guinea,14754785
GNB,Guinea-Bissau,2201352
GUY,Guyana,831087
HTI,Haiti,11772557
HND,Honduras,10825703
HKG,"Hong Kong SAR, China",7524100
HUN,Hungary,9562065
ISL,Iceland,386506
IND,India,1450935791
IDN,Indonesia,283487931
IRN,"Iran, Islamic Rep.",91567738
IRQ,Iraq,46042015
IRL,Ireland,5395790
IMN,Isle of Man,84160
ISR,Israel,9974400
ITA,Italy,58952704
JAM,Jamaica,2839175
JPN,Japan,123975371
JOR,Jordan,11552876
KAZ,Kazakhstan,20592571
KEN,Kenya,56432944
KIR,Kiribati,134518
PRK,"Korea, Dem. People's Rep.",26498823
KOR,"Korea, Rep.",51751065
XKX,Kosovo,1594353
KWT,Kuwait,4897263
KGZ,Kyrgyz Republic,7221868
LAO,Lao PDR,7769819
LVA,Latvia,1866124
LBN,Lebanon,5805962
LSO,Lesotho,2337423
LBR,Liberia,5612817
LBY,Libya,7381023
LIE,Liechtenstein,40450
LTU,Lithuania,2888278
LUX,Luxembourg,677012
MAC,"Macao SAR, China",687000
MDG,Madagascar,31964956
MWI,Malawi,21655286
MYS,Malaysia,35557673
MDV,Maldives,527799
MLI,Mali,24478595
MLT,Malta,568847
MHL,Marshall Islands,37548
MRT,Mauritania,5169395
MUS,Mauritius,1245779
MEX,Mexico,130861007
FSM,"Micronesia, Fed. Sts.",113160
MDA,Moldova,2402306
MCO,Monaco,38631
MNG,Mongolia,3524788
MNE,Montenegro,623525
MAR,Morocco,38081173
MOZ,Mozambique,34631766
MMR,Myanmar,54500091
NAM,Namibia,3030131
NRU,Nauru,11947
NPL,Nepal,29651054
NLD,Netherlands,17993485
NCL,New Caledonia,292639
NZL,New Zealand,5287500
NIC,Nicaragua,6916140
NER,Niger,27032412
NGA,Nigeria,232679478
MKD,North Macedonia,1824359
MNP,Northern Mariana Islands,44278
NOR,Norway,5572279
OMN,Oman,5281538
PAK,Pakistan,251269164
PLW,Palau,17695
PAN,Panama,4515577
PNG,Papua New Guinea,10576502
PRY,Paraguay,6929153
PER,Peru,34217848
PHL,Philippines,115843670
POL,Poland,36559233
PRT,Portugal,10694681
PRI,Puerto Rico (US),3203295
QAT,Qatar,2857822
ROU,Romania,19051804
RUS,Russian Federation,143533851
RWA,Rwanda,14256567
WSM,Samoa,218019
SMR,San Marino,33977
STP,Sao Tome and Principe,235536
SAU,Saudi Arabia,35300280
SEN,Senegal,18501984
SRB,Serbia,6586476
SYC,Seychelles,121354
SLE,Sierra Leone,8642022
SGP,Singapore,6036860
SXM,Sint Maarten (Dutch part),43350
SVK,Slovak Republic,5422069
SVN,Slovenia,2127400
SLB,Solomon Islands,819198
SOM,"Somalia, Fed. Rep.",19009151
ZAF,South Africa,64007187
SSD,South Sudan,11943408
ESP,Spain,48848840
LKA,Sri Lanka,21916000
KNA,St. Kitts and Nevis,46843
LCA,St. Lucia,179744
MAF,St. Martin (French part),26129
VCT,St. Vincent and the Grenadines,100616
SDN,Sudan,50448963
SUR,Suriname,634431
SWE,Sweden,10569709
CHE,Switzerland,9005582
SYR,Syrian Arab Republic,24672760
TJK,Tajikistan,10590927
TZA,Tanzania,68560157
THA,Thailand,71668011
TLS,Timor-Leste,1400638
TGO,Togo,9515236
TON,Tonga,104175
TTO,Trinidad and Tobago,1368333
TUN,Tunisia,12277109
TUR,Turkiye,85518661
TKM,Turkmenistan,7494498
TCA,Turks and Caicos Islands,46535
TUV,Tuvalu,9646
UGA,Uganda,50015092
UKR,Ukraine,37860221
ARE,United Arab Emirates,10986400
GBR,United Kingdom,69226000
USA,United States,340110988
URY,Uruguay,3386588
UZB,Uzbekistan,36361859
VUT,Vanuatu,327777
VEN,"Venezuela, RB",28405543
VNM,Viet Nam,100987686
VIR,Virgin Islands (U.S.),104377
PSE,West Bank and Gaza,5289152
YEM,"Yemen, Rep.",40583164
ZMB,Zambia,21314956
ZWE,Zimbabwe,16634373
